dra,ddec,mag
1.8419830000000001,-2.6884,17.4
1.868039,-2.6764099999999997,17.4
1.8940919999999999,-2.6644200000000002,17.4
1.9201439999999999,-2.65242,17.4
1.946194,-2.64043,17.4
1.972243,-2.6284400000000003,17.4
1.9982900000000001,-2.61645,17.4
2.0243349999999998,-2.60446,17.4
2.050379,-2.59247,17.4
2.076421,-2.58048,17.4
2.102461,-2.56849,17.4
2.128499,-2.5565,17.4
2.1545349999999996,-2.54451,17.4
2.18057,-2.53253,17.4
2.206603,-2.52054,17.41
2.232634,-2.5085599999999997,17.41
2.2586630000000003,-2.49657,17.41
2.2846900000000003,-2.4845900000000003,17.41
2.310715,-2.47261,17.41
2.336738,-2.46063,17.41
2.3627599999999997,-2.44865,17.41
2.388779,-2.43667,17.41
2.414796,-2.42469,17.41
2.440811,-2.4127099999999997,17.41
2.4668240000000003,-2.40073,17.41
2.492835,-2.38876,17.41
2.518844,-2.37678,17.41
2.54485,-2.3648,17.41
2.570855,-2.35283,17.41
2.596857,-2.3408599999999997,17.41
2.6228569999999998,-2.3288900000000003,17.41
2.648854,-2.31691,17.41
2.67485,-2.30494,17.42
2.700843,-2.29298,17.42
2.726834,-2.2810099999999998,17.42
2.752822,-2.26904,17.42
2.778808,-2.25707,17.42
2.804792,-2.24511,17.42
2.8307729999999998,-2.23314,17.42
2.856752,-2.22118,17.42
2.8827279999999997,-2.20922,17.42
2.908702,-2.19726,17.42
2.9346740000000002,-2.1853,17.42
2.960642,-2.17334,17.42
2.986609,-2.16138,17.42
3.012572,-2.14942,17.42
3.038534,-2.13747,17.42
3.064492,-2.12551,17.42
3.090448,-2.1135599999999997,17.42
3.1164009999999998,-2.10161,17.42
3.1423520000000003,-2.08965,17.43
3.168299,-2.0777,17.43
3.194245,-2.06575,17.43
3.2201869999999997,-2.05381,17.43
3.246126,-2.04186,17.43
3.272063,-2.0299099999999997,17.43
3.297997,-2.01797,17.43
3.323928,-2.00603,17.43
3.349857,-1.9940799999999999,17.43
3.375782,-1.9821400000000002,17.43
3.401704,-1.9702,17.43
3.427624,-1.95826,17.43
3.4535400000000003,-1.94633,17.43
3.479454,-1.93439,17.43
3.5053650000000003,-1.9224599999999998,17.43
3.531272,-1.91052,17.43
3.557177,-1.8985900000000002,17.43
3.583078,-1.8866599999999998,17.43
3.608977,-1.87473,17.44
3.634872,-1.8628,17.44
3.660764,-1.85087,17.44
3.6866529999999997,-1.83895,17.44
3.712539,-1.82702,17.44
3.738422,-1.8151,17.44
3.764301,-1.80318,17.44
3.7901769999999995,-1.7912599999999999,17.44
3.81605,-1.7793400000000001,17.44
3.8419199999999996,-1.76742,17.44
3.867786,-1.7555,17.44
3.893649,-1.7435900000000002,17.44
3.9195089999999997,-1.73167,17.44
3.9453660000000004,-1.71976,17.44
3.971219,-1.70785,17.44
3.997069,-1.6959400000000002,17.44
4.022915,-1.68403,17.44
4.048758,-1.67213,17.44
4.074598,-1.66022,17.45
4.100434,-1.64832,17.45
4.126266,-1.63642,17.45
4.152095,-1.62452,17.45
